"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
9241,"A Study of Tirzepatide (LY3298176) Versus Semaglutide Once Weekly as Add-on Therapy to Metformin in Participants With Type 2 Diabetes","Recruiting","No Results Available","Type 2 Diabetes","Drug: Tirzepatide|Drug: Semaglutide","Cahaba Research, Birmingham, Alabama, United States|Syed Research Consultants, LLC, Sheffield, Alabama, United States|National Research Institute, Huntington Park, California, United States|National Research Institute, Los Angeles, California, United States|Catalina Research Institute, LLC, Montclair, California, United States|Valley Clinical Trials, Inc., Northridge, California, United States|National Research Institute, Panorama City, California, United States|Artemis Institute for Clinical Research, Riverside, California, United States|Artemis Institute for Clinical Research, San Diego, California, United States|Artemis Institute for Clinical Research, San Marcos, California, United States|University Clinical Investigators, Inc., Tustin, California, United States|Chase Medical Research, LLC, Hamden, Connecticut, United States|Clinical Research of South Florida, Coral Gables, Florida, United States|East Coast Institute For Research, Lake City, Florida, United States|South Florida Wellness & Clinical Research Institute, Margate, Florida, United States|Suncoast Research Group, LLC, Miami, Florida, United States|New Horizon Research Center, Miami, Florida, United States|Oviedo Medical Research, Oviedo, Florida, United States|South Broward Research LLC, Pembroke Pines, Florida, United States|United Osteoporosis Center, Gainesville, Georgia, United States|Sky Clinical Research Network, Union City, Georgia, United States|Elite Clinical Trials LLLP, Blackfoot, Idaho, United States|University of Iowa Hospital & Clinic, Iowa City, Iowa, United States|Cotton O'Neil Clinic, Topeka, Kansas, United States|Cotton O'Neil Diabetes and Endocrinology Center, Topeka, Kansas, United States|NECCR PrimaCare Research, LLC, Fall River, Massachusetts, United States|ActivMed Practices & Research, Inc, Methuen, Massachusetts, United States|Olive Branch Family Medical Center, Olive Branch, Mississippi, United States|ClinVest, Springfield, Missouri, United States|Premier Research, Trenton, New Jersey, United States|Endocrine Group, LLP, Albany, New York, United States|PharmQuest, Greensboro, North Carolina, United States|Diabetes & Endocrinology Consultants PC, Morehead City, North Carolina, United States|PMG Research of Wilmington, LLC, Wilmington, North Carolina, United States|Lillestol Research LLC, Fargo, North Dakota, United States|Aventiv Research, Columbus, Ohio, United States|Intend Research, Norman, Oklahoma, United States|Heritage Valley Medical Group, Inc., Beaver, Pennsylvania, United States|Capital Area Research, Camp Hill, Pennsylvania, United States|Detweiler Family Medicine, Lansdale, Pennsylvania, United States|Green & Seidner Family Practice Associates PC, Lansdale, Pennsylvania, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|Preferred Primary Care Physicians- Bower Hill, Pittsburgh, Pennsylvania, United States|Holston Medical Group, Bristol, Tennessee, United States|Dallas Diabetes Endocrine Center, Dallas, Texas, United States|Biopharma Informatic, Inc., Houston, Texas, United States|Consano Clinical Research, Shavano Park, Texas, United States|Carl R. Meisner Medical Clinic, PLLC, Sugar Land, Texas, United States|Martin Diagnostic Clinic, Tomball, Texas, United States|Burke Internal Medicine & Research, Burke, Virginia, United States|Capital Clinical Research Center, Olympia, Washington, United States|Vancouver Clinic, Vancouver, Washington, United States|Investigaciones Medicas IMOBA S.R.L., Caba, Buenos Aires, Argentina|CEDIC-Centro de Investigaciones Clinicas, Caba, Buenos Aires, Argentina|Centro Medico Dr Laura Maffei Investigacion Clinica Aplicada, Ciudad Autonoma de Buenos Aire, Buenos Aires, Argentina|Mautalen Salud e Investigacion-Centro de Osteopatías Médicas, Ciudad Autonoma De Buenos Air, Buenos Aires, Argentina|Centro de Investigacion y Prevencion Cardiovascular (CIPREC), Ciudad Autonoma de, Buenos Aires, Argentina|Instituto de Investigaciones Clinicas Mar del Plata, Mar del Plata, Buenos Aires, Argentina|CIPADI, Godoy Cruz, Mendoza, Argentina|AXISMED SRL - Bioclinica Research Network, Buenos Aires, Argentina|Centro de Investigaciones Metabólicas (CINME) - Comite, Ciudad Autonoma Buenos Aires, Argentina|Centro Médico Viamonte, Ciudad Autonoma de Buenos Aire, Argentina|Instituto Centenario, Ciudad Autonoma de Buenos Aire, Argentina|Cemediab - Centro Médico Diabetológico Dr. Alejandro Chertkoff, Ciudad Autonoma de Buenos Aire, Argentina|Cent Priva Especiali Médicas Ambulatorias Inve Clin CEMAIC, Cordoba, Argentina|Sanatorio Norte, Santiago del Estero, Argentina|Paratus Clinical Blacktown Clinic, Blacktown, New South Wales, Australia|Campbelltown Medical & Dental Centre, Campbelltown, New South Wales, Australia|Paratus Clinical Kanwal Clinic, Kanwal, New South Wales, Australia|Holdsworth House Medical Practice, Sydney, New South Wales, Australia|GenesisCare - Bundaberg, Bundaberg, Queensland, Australia|Royal Brisbane and Womens Hospital, Herston, Queensland, Australia|CORE Research Group Pty Ltd, Milton, Queensland, Australia|AusTrials Pty Ltd, Sherwood, Queensland, Australia|Eastern Clinical Research Unit, Box Hill, Victoria, Australia|Barwon Health - The Geelong Hospital, Geelong, Victoria, Australia|GenesisCare, Joondalup, Western Australia, Australia|GenesisCare Wexford, Murdoch, Western Australia, Australia|Adelaide Medical Solutions, Woodville South, Australia|Cedoes Centro Diagnostico Pequisa Osteoporose E Santo Ltd, Vitoria, ES, Brazil|Centro de Pesquisas em Diabetes, Porto Alegre, Rio Grande Do Sul, Brazil|CPQuali Pesquisa Clínica Ltda., São Paulo, SP, Brazil|Cpclin Centro de Pesquisas Clinicas, São Paulo, SP, Brazil|CEPIC-Centro Paulista de Investigacao Clinica, São Paulo, SP, Brazil|ISPEM - Instituto São José dos Campos em Pesquisas Médicas, São José dos Campos, Brazil|Dr. Consulta Clínica Médica LTDA, São Paulo, Brazil|Manna Research, Inc., Burlington, Ontario, Canada|Milestone Research Inc., London, Ontario, Canada|Manna Research, Inc., Nepean, Ontario, Canada|Bluewater Clinical Research Group Inc, Sarnia, Ontario, Canada|Manna Research, Inc., Stoney Creek, Ontario, Canada|Dr. Anil K. Gupta Medicine Professional Corporation, Toronto, Ontario, Canada|Manna Research, Inc., Toronto, Ontario, Canada|Manna Research (Quebec), Levis, Quebec, Canada|Meir Medical Center Ethics Committee, Kfar Saba, HaMerkaz, Israel|Clalit Health Services - Shuali Clinic, Raanana, HaMerkaz, Israel|Sheba Medical Center, Ramat Gan, HaMerkaz, Israel|Hadassah Medical Center, Jerusalem, Yerushalayim, Israel|Sakhnin Community Clinic, Clalit Health Services, Sakhnin, Israel|Tel Aviv Sourasky Medical Center, Tel Aviv Jaffa, Israel|Diabetes Medical Center (DMC), Tel Aviv, Israel|Rambam Health Care Campus, Haifa, Ḥeifā, Israel|Linn Medical Center, Haifa, Ḥeifā, Israel|Centro Especializado en Diabetes Obesidad y Enfermedades, Mexico, D.f., Mexico|Instituto Jalisciense de Investigacion en Diabetes y Obesida, Guadalajara, Jalisco, Mexico|Diseno y Planeacion en Investigacion Medica S.C., Guadalajara, Jalisco, Mexico|Unidad de Investigacion Clinica, Guadalajara, Jalisco, Mexico|Hospital Universitario Dr. Jose Eleuterio Gonzalez, Monterrey, N.l., Mexico|Unidad Medica para la Salud Integral (UMSI), Monterrey, Nuevo León, Mexico|Centro de Estudios de Investigacion Metabolicos y Cardiovasc, Madero, Tamaulipas, Mexico|Centro de Investigacion Clinica, Chihuahua, Mexico|Paola Mansilla-Letelier, MD, Guaynabo, Puerto Rico|Ararat Research Center, Ponce, Puerto Rico|Research and Cardiovascular Corp., Ponce, Puerto Rico|Clinical Research Puerto Rico, Inc., San Juan, Puerto Rico|Martha Gomez Cuellar M.D., San Juan, Puerto Rico|Oldfield Surgery, Bath, Avon, United Kingdom|The Staploe Medical Centre, Ely, Cambridgeshire, United Kingdom|Fowey River Practice, Fowey, Cornwall, United Kingdom|Oak Tree Surgery, Liskeard, Cornwall, United Kingdom|Rame Medical Ltd, Torpoint, Cornwall, United Kingdom|Ashgate Medical Practice, Chesterfield, Derbyshire, United Kingdom|Knowle House Surgery, Plymouth, Devon, United Kingdom|Queen Alexandra Hospital, Portsmouth, Hampshire, United Kingdom|Lister Hospital, Stevenage, Herts, United Kingdom|Oakenhurst Medical Practice, Blackburn, Lancashire, United Kingdom|Leicester General Hospital, Leicester, Leicestershire, United Kingdom|University Hospitals Coventry and Warwickshire NHS Trust, Coventry, Warwickshire, United Kingdom|Rowden Surgery, Chippenham, United Kingdom|Wickersley Health Centre - Clifton Medical Centre, Rotherham, United Kingdom","https://ClinicalTrials.gov/show/NCT03987919"
9242,"Symptom Screening With Targeted Early Palliative Care (STEP) Versus Usual Care for Patients With Advanced Cancer","Not yet recruiting","No Results Available","Cancer","Behavioral: Symptom screening with Targeted Early Palliative Care (STEP)","Kingston General Hospital, Kingston, Ontario, Canada|Princess Margaret Cancer Centre, Toronto, Ontario, Canada","https://ClinicalTrials.gov/show/NCT03987906"
9243,"PEG3350 in ACLF With Hepatic Encephalopathy","Recruiting","No Results Available","Hepatic Encephalopathy|Acute-On-Chronic Liver Failure","Drug: PEG-3350 with Electolytes|Drug: Lactulose","Postgraduate Institute of Medical Education and Research, Chandigarh, India","https://ClinicalTrials.gov/show/NCT03987893"
9244,"Photorefractive Intrastromal Corneal Crosslinking as a Treatment for Low Grade Myopia","Active, not recruiting","No Results Available","Myopia|Corneal Crosslinking|Refractive Errors|Eye Diseases","Procedure: 4.0 mm treatment|Procedure: 3.5 mm treatment","Department of Clinical Sciences/Ophthalmology, Umeå University, Umeå, Sweden","https://ClinicalTrials.gov/show/NCT03987880"
9245,"Study of Autologous CIK Cell Immunotherapy Combination With PD-1 Inhibitor and Chemotherapy in the Advanced NSCLC","Recruiting","No Results Available","Non-small Cell Lung Cancer|First-line Treatment","Biological: CIK cell|Biological: IBI308|Drug: Pemetrexed|Drug: Gemcitabine|Drug: Carboplatin","Tianjin Medical University Cancer Institute and Hospital, Tianjin, Tianjin, China","https://ClinicalTrials.gov/show/NCT03987867"
9246,"The University of Michigan PCOS Intervention Using Nutritional Ketosis","Recruiting","No Results Available","Polycystic Ovary Syndrome","Behavioral: diet and lifestyle program","University of Michigan, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT03987854"
9247,"Intervention Mapping to Adapt a Mindfulness-based Intervention for Adults With Diabetes and Emotional Distress","Not yet recruiting","No Results Available","Type 2 Diabetes|Stress","Behavioral: Integrated MBSR/DSME intervention","Cooper Green Mercy Health Systems, Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT03987841"
9248,"Noncurative Endoscopic Resection of Colorectal Adenocarcinoma","Not yet recruiting","No Results Available","Noncurative Resection",,,"https://ClinicalTrials.gov/show/NCT03987828"
9249,"Neoadjuvant Nivolumab for Operable Esophageal Carcinoma","Not yet recruiting","No Results Available","Esophageal Squamous Cell Carcinoma","Drug: Nivolumab","Jong-Mu Sun, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT03987815"
9250,"An Indian Post Marketing Study of Mealtime Insulin, Fiasp®, to Evaluate Its Safety and Effectiveness in Patients With Diabetes Mellitus in Routine Clinical Practice","Not yet recruiting","No Results Available","Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2","Drug: Faster-acting insulin aspart",,"https://ClinicalTrials.gov/show/NCT03987802"
9251,"Intraoperative Protective Mechanical Ventilation in Patients Requiring Emergency Abdominal Surgery","Not yet recruiting","No Results Available","Emergency Abdominal Surgery|Mechanical Ventilation|General Anesthesia|Postoperative Morbidity","Other: Driving-pressure-guided group|Other: Low PEEP","University hospital, Angers, France|University hospital, Besancon, France|University hospital, Bordeaux, France|Hospital, Chalon-sur-Saône, France|University hospital, Dijon, France|University hospital, Grenoble, France|University hospital, Le Mans, France|University hospital, Lille, France|University hospital, Lille, France|University hospital, Lyon, France|University hospital, Lyon, France|University hospital, Marseile, France|University hospital, Marseille, France|University hospital, Montpellier, France|University hospital, Nantes, France|University hospital, Nîmes, France|Assistance Publique-Hôpitaux de Paris, Paris, France|University hospital, Rennes, France|University hospital, Saint-Etienne, France|University hospital, Strasbourg, France|University hospital, Strasbourg, France|University hospital, Toulouse, France|Hospital, Valenciennes, France","https://ClinicalTrials.gov/show/NCT03987789"
9252,"An Anti-inflammatory Diet Effect on Metabolic, Inflammatory and Immune Status of Obese Younger Adults","Recruiting","No Results Available","Obesity","Behavioral: Anti-inflammatory energy-restricted diet|Behavioral: Control energy-restricted diet","Clinical Hospital Rijeka, Rijeka, Croatia","https://ClinicalTrials.gov/show/NCT03987776"
9253,"A Safety and Pharmacokinetics Study of IDP-122 Lotion in Pediatric Participants With Plaque Psoriasis","Recruiting","No Results Available","Psoriasis","Drug: IDP-122 Lotion","Bausch Site 2, Thousand Oaks, California, United States|Bausch Site 3, Miami, Florida, United States|Bausch Site 1, Spokane, Washington, United States|Bausch Site 4, Panama City, Panama","https://ClinicalTrials.gov/show/NCT03987763"
9254,"Safinamide for Levodopa-induced Dyskinesia (PD-LID)","Not yet recruiting","No Results Available","Dyskinesia, Drug-Induced|Parkinson Disease","Drug: Safinamide Methanesulfonate 150mg|Drug: Safinamide Methanesulfonate 100mg|Drug: Safinamide Methanesulfonate matching placebo",,"https://ClinicalTrials.gov/show/NCT03987750"
9255,"Rectal Gas Removal Through Small Catheter Placement Prior to MRI of the Prostate","Not yet recruiting","No Results Available","Prostatic Neoplasms|Prostate Cancer","Procedure: small urinary catheter placement in the rectum",,"https://ClinicalTrials.gov/show/NCT03987737"
9256,"Exercise and Tumor Blood Flow","Not yet recruiting","No Results Available","Tumor Blood Flow at Rest and During Exercise","Other: Positron emission tomography (PET) imaging at rest and during supine bicycle exercise","Turku PET Centre, Turku, Finland","https://ClinicalTrials.gov/show/NCT03987724"
9257,"Strategies for the Management of Atrial Fibrillation in patiEnts Receiving HemoDialysis","Not yet recruiting","No Results Available","Atrial Fibrillation|End Stage Renal Failure on Dialysis","Drug: Warfarin|Drug: Apixaban|Other: No oral anticoagulation",,"https://ClinicalTrials.gov/show/NCT03987711"
9258,"Study of PD-1 Inhibitor Combination With Autologous Cell Immunotherapy in the Metastatic Renal Cell Carcinoma","Recruiting","No Results Available","Metastic Renal Cell Carcinoma|Clear Cell Renal Cell Carcinoma|Second-line Treatment","Biological: SHR-1210|Biological: CIK cells","Tianjin Medical University Cancer Institute and Hospital, Tianjin, Tianjin, China","https://ClinicalTrials.gov/show/NCT03987698"
9259,"Evaluate Oral Topotecan With HM30181A Monotherapy in Patients With Advanced Malignancies","Recruiting","No Results Available","Solid Tumor","Drug: Oratopo","HonorHealth Research Institute, Phoenix, Arizona, United States","https://ClinicalTrials.gov/show/NCT03987685"
9260,"Study to Intervene With Nutrition for Gastroparesis","Recruiting","No Results Available","Gastroparesis","Dietary Supplement: Assess the nutritional effects of the Kate Farm Peptide 1.5 nutritional Formula","Stanford University School of Medicine, Redwood City, California, United States","https://ClinicalTrials.gov/show/NCT03987672"
9261,"Therapeutic Irrigation Procedures to Treat Apical Periodontitis","Not yet recruiting","No Results Available","Apical Periodontitis","Procedure: Irrigation protocols that promote release of dECMs|Procedure: Conventional Irrigation protocols","Birmingham Dental Hospital, Birmingham, United Kingdom","https://ClinicalTrials.gov/show/NCT03987659"
9262,"The Vestibular Socket Therapy : A Novel Concept for Immediate Implant Placement in Defective Fresh Extraction Sites","Completed","No Results Available","Immediate Implants","Procedure: Non-staged vestibular fresh socket therapy","Private Practice Clinic, Alexandria, Egypt","https://ClinicalTrials.gov/show/NCT03987646"
9263,"EMPOWER-1: A Multi-site Clinical Cohort Research Study to Reduce Health Inequality","Not yet recruiting","No Results Available","Atrial Fibrillation|Coronary Heart Disease|Cardiovascular Diseases|Heart Failure|Hypertension|Peripheral Arterial Disease|Stroke, Ischemic|Asthma|Chronic Obstructive Pulmonary Disease|Obesity|Cancer|Chronic Kidney Diseases|Diabetes Mellitus|Dementia|Depression|Epilepsy|Mental Health Disorder|Rheumatoid Arthritis|Blood Pressure",,"Future Genetics Limited, Birmingham, West Midlands, United Kingdom","https://ClinicalTrials.gov/show/NCT03987633"
9264,"Efficacy and Safety of Oral Ibrexafungerp (SCY-078) vs. Placebo in Subjects With Acute Vulvovaginal Candidiasis","Recruiting","No Results Available","Candida Vulvovaginitis","Drug: Ibrexafungerp|Drug: Placebo","Mesa OB-GYN, Mesa, Arizona, United States|Red Rocks OBGYN, Lakewood, Colorado, United States|Planned Parenthood Southern New England, New Haven, Connecticut, United States|Healthcare Clinical Data Inc, North Miami, Florida, United States|Physician Care Clinical Research LLC, Sarasota, Florida, United States|CCT LLC - A VitaLink Company- PPDS, West Palm Beach, Florida, United States|Mount Vernon Clinical Research, LLC, Sandy Springs, Georgia, United States|Fellows Research Alliance Inc, Savannah, Georgia, United States|Rosemark Women Care Specialists, Idaho Falls, Idaho, United States|Praetorian Pharmaceutical Research, LLC, Marrero, Louisiana, United States|North County Health Center, Planned Parenthood of the St. Louis Region and Southwest Missouri, Florissant, Missouri, United States|Clinical Research Center Of Nevada, Las Vegas, Nevada, United States|Planned Parenthood North Central Southern New Jersey (PPNCSNJ), Hackensack, New Jersey, United States|Carolina Institute for Clinical Research - M3 Wake Research, Fayetteville, North Carolina, United States|Obstetrics and Gynecology Associates of Erie, PC, Erie, Pennsylvania, United States|Fellows Research Alliance Inc, Bluffton, South Carolina, United States|Chattanooga Medical Research Inc, Chattanooga, Tennessee, United States|Signature GYN Services, PLLC, Fort Worth, Texas, United States|Brownstone Clinical Trials, LLC, Irving, Texas, United States|Multiprofile Hospital for Active Treatment -Asenovgrad EOOD, Asenovgrad, Bulgaria|MHAT Puls AD - PPDS, Blagoevgrad, Bulgaria|Multiprofile Hospital for Active Treatment - Chirpan EOOD, Chirpan, Bulgaria|Medical Center Asklepii OOD, Dupnitsa, Bulgaria|Diagnostic-Consultative Center I-Gabrovo EOOD, Gabrovo, Bulgaria|Multiprofile Hospital For Active Treatment Dr Tota Venkova, Gabrovo, Bulgaria|Multiprofile Hospital for Active Treatment Sv. Ivan Rilski - Gorna Oryahovitsa EOOD, Gorna Oryahovitsa, Bulgaria|Multiprofile Hospital for Active Treatment- Sveti Nikolay Chudotvoretz - LOM EOOD, Lom, Bulgaria|Multiprofile Hospital for Active Treatment - Prof. Dr. Paraskev Stoyanov AD, Lovech, Bulgaria|MHAT Stamen Iliev AD, Montana, Bulgaria|Multiprofile Hospital for Active Treatment Trimontsium OOD, Plovdiv, Bulgaria|Medical Center-1-Sevlievo EOOD, Sevlievo, Bulgaria|Multiprofile Hospital for Active Treatment Shumen, Shumen, Bulgaria|Multiprofile Hospital For Active Treatment - Dr. Bratan Shukerov AD, Smolyan, Bulgaria|Medical Center Excelsior OOD - PPDS, Sofia, Bulgaria|Diagnostic Consultative CTR - XX - Sofia - EOOD, Sofia, Bulgaria|Medical center Vip Clinic OOD, Sofia, Bulgaria|Medical Center Medica Plus OOD, Veliko Tarnovo, Bulgaria","https://ClinicalTrials.gov/show/NCT03987620"
9265,"Comparison of Two Monitors That Measure Neuromuscular Function During Surgeries","Recruiting","No Results Available","Neuromuscular Blockade","Device: neuromuscular blockade monitoring","University of Debrecen, Department of Anesthesiology and Intensive Care, Debrecen, Hungary","https://ClinicalTrials.gov/show/NCT03987607"
9266,"Comparing the Effect of Fulguration Versus Fulguration and Hydrodistension in Interstitial Cystitis/Bladder Pain Syndrome","Completed","No Results Available","Interstitial Cystitis|Bladder Pain Syndrome","Procedure: Transurethral fulguration of the Hunner lesion|Procedure: Combination treatment of bladder hydrodistension and transurethral fulguration of the Hunner lesion","Department of Urology and Urological Science Institute, Yonsei University College of Medicine, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT03987594"
9267,"Cost Effectiveness of Combined Contingency Management and Cognitive Behavioral Therapy for Alcohol Use Disorder","Not yet recruiting","No Results Available","Alcohol Drinking|Veterans","Behavioral: Cognitive Behavioral Therapy (CBT)|Behavioral: Mobile Contingency Management (mCM)|Behavioral: Long-term incentive","Duke University Medical Center, Durham, North Carolina, United States","https://ClinicalTrials.gov/show/NCT03987581"
